date,location,maxtemp,evaporation_final,sunshine_final,humidity9am_final,humidity3pm_final,pressure9am,pressure3pm,cloud9am,cloud3pm_final,temp9am,temp3pm,precipitation3pm,precipitation9am,wind_speed9am_complete_final,wind_speed3pm_complete,wind_dir9am_complete_final_int,wind_dir3pm_complete_final_int,raintoday_int,raintomorrow_int
2009-01-01,MelbourneAirport,19.9,5.6,8.8,55.0,37.0,1005.1,1006.4,7.0,7.0,15.9,18.1,9,6.1169447562958,33.0,43.0,12,10,0,1
2009-01-02,MelbourneAirport,17.8,7.2,12.9,50.0,43.0,1018.0,1019.3,6.0,7.0,12.5,15.8,12,9.775911859101141,31.0,26.0,10,7,1,0
2009-01-03,MelbourneAirport,21.1,6.2,10.5,51.0,35.0,1020.8,1017.6,1.0,7.0,13.4,19.6,12,5.98623886841862,13.0,19.0,4,8,0,0
2009-01-04,MelbourneAirport,29.2,6.4,12.5,67.0,23.0,1016.2,1012.8,5.0,4.0,16.0,28.2,11,9.50136200555705,2.0,20.0,2,7,0,0
2009-01-05,MelbourneAirport,29.0,7.4,12.3,51.0,31.0,1011.9,1010.3,6.0,2.0,19.4,27.1,15,6.67734013101337,9.0,20.0,10,7,0,0
2009-01-06,MelbourneAirport,31.7,7.2,13.7,50.0,34.0,1010.7,1007.7,0.0,1.0,21.3,29.8,7,10.537640228924099,11.0,28.0,1,8,0,0
2009-01-07,MelbourneAirport,21.4,8.8,4.4,98.0,67.0,1010.0,1009.9,8.0,7.0,16.0,19.9,9,9.7004655825615,17.0,28.0,9,7,0,0
2009-01-08,MelbourneAirport,18.4,5.2,11.5,51.0,42.0,1017.4,1018.9,2.0,5.0,14.5,17.7,4,2.9517698300403197,28.0,35.0,9,7,0,0
2009-01-09,MelbourneAirport,19.7,5.6,12.6,51.0,42.0,1021.4,1018.0,2.0,7.0,14.2,19.3,7,9.89032099746406,19.0,28.0,7,8,0,0
2009-01-10,MelbourneAirport,23.6,7.2,10.2,76.0,46.0,1013.8,1010.3,7.0,1.0,14.5,21.8,7,9.253417602898859,7.0,24.0,11,8,0,0
2009-01-11,MelbourneAirport,23.5,6.6,10.2,77.0,52.0,1012.0,1009.7,8.0,1.0,14.8,23.0,8,5.884356570844389,9.0,17.0,10,7,0,0
2009-01-12,MelbourneAirport,25.1,5.2,7.8,73.0,47.0,1018.6,1017.4,8.0,5.0,15.3,22.4,14,5.4221938835948205,11.0,17.0,9,6,0,0
2009-01-13,MelbourneAirport,37.1,6.8,13.5,39.0,12.0,1013.8,1010.0,0.0,0.0,25.0,35.1,6,13.649508819902302,35.0,22.0,0,15,0,0
2009-01-14,MelbourneAirport,33.5,18.6,12.3,12.0,45.0,1007.5,1009.4,3.0,4.0,31.2,24.8,10,22.4989181117572,35.0,24.0,0,8,0,0
2009-01-15,MelbourneAirport,23.1,9.2,10.1,56.0,44.0,1015.8,1014.5,7.0,5.0,16.5,21.4,8,8.40882525595892,28.0,22.0,10,6,0,0
